understat_id,understat_title,fivethirtyeight_name
71,Aston Villa,Aston Villa
72,Everton,Everton
73,Bournemouth,AFC Bournemouth
74,Southampton,Southampton
75,Leicester,Leicester City
76,West Bromwich Albion,West Bromwich Albion
77,Sunderland,Sunderland
78,Crystal Palace,Crystal Palace
79,Norwich,Norwich City
80,Chelsea,Chelsea
81,West Ham,West Ham United
82,Tottenham,Tottenham Hotspur
83,Arsenal,Arsenal
84,Swansea,Swansea City
85,Stoke,Stoke City
86,Newcastle United,Newcastle
87,Liverpool,Liverpool
88,Manchester City,Manchester City
89,Manchester United,Manchester United
90,Watford,Watford
91,Hull,Hull City
92,Burnley,Burnley
93,Middlesbrough,Middlesbrough
219,Huddersfield,Huddersfield Town
220,Brighton,Brighton and Hove Albion
227,Cardiff,Cardiff City
228,Fulham,Fulham
229,Wolverhampton Wanderers,Wolverhampton
238,Sheffield United,Sheffield United
245,Leeds,Leeds United
